Store_ID,Department,Region,Product_Category,Date,Weekly_Sales,Cost,Profit,Holiday_Flag,Temperature,CPI
18,10,East,Sports,13-04-2023,42986.32,36086.76,6899.56,0,18.51,213.48
12,10,North,Electronics,11-03-2024,41309.21,26038.74,15270.47,0,18.52,248.67
6,1,South,Electronics,28-09-2023,33115.81,27814.09,5301.72,0,24.47,252.71
20,2,South,Home,17-04-2023,17121.58,10890.62,6230.96,0,31.59,204.29
13,6,East,Groceries,13-03-2023,17781.59,11334.29,6447.3,0,20.77,201.95
20,10,North,Sports,01-12-2024,10580.13,9356.63,1223.5,0,28.3,244.67
16,5,East,Clothing,21-01-2023,46483.42,39316.58,7166.84,0,21.47,208
18,9,North,Groceries,06-09-2024,12781.92,9787.41,2994.51,0,19.14,207.98
10,5,West,Clothing,02-05-2023,30779.9,26547.39,4232.51,0,10.75,201.34
8,2,West,Home,11-04-2024,31295.81,28066.38,3229.43,0,10.12,202.99
18,10,East,Sports,03-08-2023,27260.42,21350.16,5910.26,1,16.82,215.82
1,4,West,Home,27-11-2023,20863.33,16354.13,4509.2,0,22.19,203.9
8,9,East,Clothing,03-04-2024,35086.48,28992.94,6093.54,0,35.54,222.13
6,1,South,Electronics,29-03-2023,22473.4,15049.13,7424.27,0,33.95,249.97
5,1,North,Home,08-01-2024,16480.19,10714.39,5765.8,0,18.01,219.58
15,7,North,Sports,10-04-2023,29229.99,24198.76,5031.23,1,17.34,243.67
15,3,South,Home,25-10-2024,46865.51,32968.55,13896.96,1,16.82,205.63
2,10,South,Groceries,11-05-2023,48491.53,31059.85,17431.68,0,20.18,239.56
1,2,South,Home,23-10-2024,33617.76,23346.3,10271.46,0,24.95,219
11,9,South,Clothing,05-11-2023,40194.56,28441.31,11753.25,0,23.16,244.99
10,3,West,Home,10-12-2023,28977.12,25777.13,3199.99,0,16.55,208.18
18,2,North,Sports,06-05-2024,37032.11,29973.34,7058.77,1,13.91,253.87
18,8,North,Home,18-02-2024,49463.9,37555.81,11908.09,0,10.38,214.55
17,10,South,Home,21-01-2024,24728.85,22025.05,2703.8,0,14.62,221.19
8,6,East,Sports,11-07-2023,7981.46,6951.39,1030.07,0,31.16,257.01
15,6,East,Home,04-10-2023,48065.31,36222.03,11843.28,0,17.31,234.71
8,10,East,Sports,10-06-2023,40687.78,35467.7,5220.08,0,24.06,221.95
17,7,East,Clothing,04-04-2024,22923.97,16534.86,6389.11,0,27.74,256.98
12,7,West,Sports,10-11-2023,49207.78,32926.21,16281.57,0,36.61,219.74
8,6,North,Clothing,22-01-2023,20549.11,13763.86,6785.25,0,36.67,205.69
14,4,North,Clothing,10-09-2023,21745.41,17367.94,4377.47,0,32.37,259.81
4,9,North,Sports,14-07-2024,41728.85,31310.04,10418.81,1,11.05,216.07
1,6,East,Home,19-04-2024,17345.63,13836.35,3509.28,0,27.25,251.08
1,4,South,Groceries,28-02-2023,36435.72,29360.73,7074.99,0,33.6,209.93
19,3,East,Sports,25-05-2024,11878.26,7206.5,4671.76,0,10.52,243.88
16,4,North,Home,12-11-2024,9861.14,6076.55,3784.59,0,26.49,231.47
14,3,East,Clothing,20-04-2024,29069.51,22087.11,6982.4,0,35.73,258.85
16,2,South,Electronics,30-11-2024,29997.22,19717.49,10279.73,0,24.22,233.17
5,5,South,Groceries,09-07-2023,9799.48,7739.24,2060.24,0,10.12,201.5
9,2,East,Home,17-11-2024,57493.58,44020.29,13473.29,1,10.33,236.23
2,6,North,Groceries,16-07-2024,30797.9,23890.8,6907.1,0,22.5,208.72
18,3,West,Electronics,20-07-2024,11796.57,8148.32,3648.25,0,14.65,247.91
6,6,North,Electronics,01-09-2023,19014.91,15058.92,3955.99,0,29.93,251.39
9,10,West,Electronics,19-05-2024,41010.54,34811.71,6198.83,0,31.26,228.93
1,9,North,Sports,11-05-2023,28545.42,25674.36,2871.06,0,15.34,246.99
9,1,East,Groceries,29-04-2024,13466.68,11467.33,1999.35,0,36.66,208.71
16,6,West,Sports,08-10-2024,9628.2,7387.23,2240.97,0,23.26,229.52
13,9,North,Electronics,21-01-2023,24384.85,16045.94,8338.91,0,14.29,223.64
9,4,East,Home,16-06-2023,20183.66,16236.42,3947.24,0,32.93,236.68
13,2,North,Electronics,01-10-2023,34516.28,30419.06,4097.22,0,33.7,202.67
9,4,South,Sports,23-01-2024,48472.92,32164.69,16308.23,1,29.18,245.13
11,1,South,Electronics,23-08-2024,16147.86,10928.85,5219.01,0,35.6,204.75
4,3,North,Electronics,12-11-2023,43485.53,28035.23,15450.3,0,32.12,239.39
2,10,East,Sports,14-01-2023,46420.79,38112.23,8308.56,0,36.47,201.11
6,9,North,Sports,30-08-2023,45590.12,32914.63,12675.49,0,23.02,249.91
14,10,East,Home,12-12-2023,47843.48,29605.96,18237.52,0,32.43,210.48
4,5,West,Sports,18-07-2024,42894.89,36996.2,5898.69,0,39.99,230.93
6,6,South,Home,06-12-2023,31706.87,24328.73,7378.14,0,31.75,215.69
19,3,West,Clothing,02-04-2023,23443.07,16394.4,7048.67,0,13.43,243.36
6,5,East,Clothing,02-01-2024,27125.95,19074.83,8051.12,0,25.55,219.28
2,8,North,Sports,30-03-2024,44267.55,30415.14,13852.41,0,27.62,243.48
18,6,South,Electronics,03-03-2024,23967.11,17655.23,6311.88,1,15.23,217.09
13,4,East,Groceries,23-05-2024,12166.78,8530.28,3636.5,0,38.89,245.15
9,2,East,Electronics,04-02-2023,11336.86,8665.71,2671.15,0,15.27,201.84
19,9,South,Sports,25-07-2023,42214.76,35125.01,7089.75,0,15.33,217
13,1,North,Home,22-03-2023,39266.86,31505.31,7761.55,0,37.46,229.92
11,1,South,Electronics,15-07-2024,27394.04,18856.33,8537.71,0,23.96,202.7
1,4,North,Clothing,23-01-2024,17369.21,13176.67,4192.54,0,11.9,211.16
7,7,North,Sports,02-01-2023,35492.59,30241.03,5251.56,0,27.95,256.07
15,1,East,Electronics,25-01-2024,6729.49,4175.39,2554.1,0,28.05,258.61
1,9,North,Electronics,19-07-2024,30570.25,19060.22,11510.03,0,11.94,244.38
12,4,North,Home,16-04-2023,22929.13,17583.23,5345.9,0,39.18,215.13
7,3,South,Home,21-04-2024,56792.92,44964.92,11828,1,26.32,215.63
15,1,South,Home,03-12-2024,27840.21,18469.86,9370.35,0,26.79,238.75
19,10,North,Groceries,06-02-2024,37941.99,31247.73,6694.26,1,25.6,207.06
1,4,East,Sports,30-12-2024,37056.32,29418.23,7638.09,0,28.32,256.9
17,9,South,Sports,09-07-2024,26804.23,23506.96,3297.27,0,17.93,213.49
17,10,West,Clothing,11-06-2023,19424.8,12639.45,6785.35,1,18.62,259.98
3,6,East,Clothing,21-07-2023,29177.5,24083.47,5094.03,0,25.34,229.74
12,6,South,Sports,27-09-2023,54885.88,34308.78,20577.1,1,34.2,246.29
6,1,South,Electronics,28-09-2023,23445.99,18043.75,5402.24,0,11.5,200.13
11,10,West,Sports,31-03-2024,35583.84,27241.87,8341.97,0,28.1,253.32
3,2,North,Groceries,06-04-2024,58820.27,42145.64,16674.63,1,34.2,216.2
8,6,South,Clothing,27-12-2024,42346.5,36137.29,6209.21,0,14.71,240.08
14,2,West,Clothing,09-09-2023,36591.95,22003.15,14588.8,1,10.45,248.38
14,3,West,Clothing,02-12-2024,42834.29,32385.03,10449.26,1,19.38,209.85
10,4,South,Sports,23-10-2023,47141.75,31356.15,15785.6,0,27.64,226.55
2,5,East,Clothing,25-12-2024,48188.84,39661.8,8527.04,0,14.15,229.63
14,9,South,Clothing,20-12-2024,48603.57,29790.11,18813.46,0,22.78,218.73
9,4,West,Sports,04-12-2023,33153.87,28163.1,4990.77,0,26.57,228.91
3,9,South,Electronics,22-02-2023,22312.02,18997.07,3314.95,0,27.97,219.05
8,10,East,Clothing,05-08-2023,10991.89,9341.57,1650.32,0,18.23,221.64
16,3,North,Clothing,07-07-2023,22349.66,14432.75,7916.91,0,22,240.16
2,8,North,Clothing,15-01-2024,47433,37430.42,10002.58,0,33.35,237.96
6,1,South,Groceries,07-05-2024,47505.64,28708.14,18797.5,1,38.24,213.94
12,9,South,Sports,10-02-2023,28564.68,24405.34,4159.34,0,35.86,253.85
5,9,West,Clothing,06-06-2023,29165.33,23824.94,5340.39,0,26.93,251.77
2,10,East,Groceries,15-01-2023,18901.42,14352.72,4548.7,0,22.31,230.54
16,2,West,Electronics,06-03-2023,25452.86,20850.41,4602.45,0,19.99,226
5,4,West,Electronics,04-06-2024,37150.18,23341.36,13808.82,0,13.75,222.61
15,8,North,Groceries,10-12-2023,23109.38,17530.7,5578.68,0,13.2,242.44
12,7,West,Electronics,09-05-2023,15313.31,10526.11,4787.2,1,30.65,240.3
4,1,West,Home,09-10-2024,29338.68,26163.82,3174.86,0,17.79,211.77
15,5,North,Electronics,16-04-2024,15140.16,12977.17,2162.99,0,17.64,240.29
11,7,North,Home,04-03-2023,48842.94,40050.37,8792.57,0,39.95,215.15
16,4,East,Groceries,19-05-2023,24256.2,21348.47,2907.73,1,15.64,201.11
6,1,East,Home,13-05-2024,45934.92,32340.62,13594.3,0,14.44,241.95
14,9,East,Electronics,15-08-2024,15149.93,13184.44,1965.49,0,12.96,238.69
18,5,South,Clothing,27-01-2024,13514.41,9427.27,4087.14,0,27.39,224.65
12,2,North,Home,05-11-2024,32760.55,26858.38,5902.17,0,28.84,231.54
11,8,South,Electronics,23-02-2024,40072.06,32896.16,7175.9,0,20.96,256.83
13,2,South,Clothing,16-10-2023,30504.41,18470.57,12033.84,0,26.06,235.71
11,3,East,Groceries,14-01-2024,21172.98,14997.2,6175.78,1,33.65,239.47
16,10,North,Groceries,04-05-2024,6705.25,4062.24,2643.01,0,34.54,203.83
15,1,South,Sports,19-08-2023,32823,29512.07,3310.93,0,38.74,209.96
15,2,West,Groceries,10-02-2023,10896.68,6937.47,3959.21,0,34.73,218.06
4,7,West,Sports,28-01-2023,20442.94,15594.76,4848.18,0,26.95,232.36
11,10,North,Groceries,15-05-2023,35410.31,29644.34,5765.97,0,15.39,246.6
19,2,South,Groceries,20-07-2023,9411.05,6214.86,3196.19,0,12.99,219.27
15,6,East,Groceries,02-02-2023,10726.32,7996.64,2729.68,0,11.64,221.38
4,3,South,Sports,17-02-2023,7774.98,6081.81,1693.17,0,30,215.37
13,4,West,Sports,17-05-2024,49823.56,32288.73,17534.83,0,34.23,215.28
19,8,West,Home,11-02-2024,22418.45,18687.27,3731.18,0,25.26,256.93
2,3,East,Electronics,27-07-2024,45760.78,31565.83,14194.95,0,11.64,238.13
14,10,North,Electronics,28-12-2024,18211.35,12079.71,6131.64,0,26.06,209.35
4,6,South,Electronics,09-04-2023,38894.12,29850.72,9043.4,0,38.07,243.33
16,1,West,Groceries,14-11-2024,22239.99,16081.61,6158.38,1,27.93,243.32
20,7,South,Electronics,26-12-2024,27424.61,24026.31,3398.3,0,34.28,239.99
14,8,East,Sports,30-06-2024,42107.71,36381.85,5725.86,0,34,208.08
15,8,East,Home,04-09-2024,49833.43,37126.16,12707.27,1,37.96,224.48
3,3,North,Clothing,06-04-2024,47906.31,33907.09,13999.22,1,33.11,206.41
8,10,East,Home,04-10-2024,42068.05,29349,12719.05,0,32.43,249
16,1,North,Electronics,05-01-2023,14516.25,9874.96,4641.29,0,17.02,239.31
10,9,South,Electronics,06-08-2023,26699.73,20381.62,6318.11,0,11.8,230.43
4,6,West,Sports,17-05-2024,26819.22,22568.2,4251.02,0,25.53,220.58
18,9,West,Home,02-02-2024,45072.61,31245.55,13827.06,0,13.73,211.05
2,7,North,Sports,28-01-2024,18360.13,12063.12,6297.01,0,38.87,206.39
